match_id,team1,team2,team1_strength,team2_strength,is_knockout,neutral_venue,team1_goals,team2_goals,outcome
1,Argentina,France,92,91,1,1,3,2,1
2,Brazil,England,90,88,0,1,2,1,1
3,France,Spain,91,87,0,1,1,0,1
4,Germany,Portugal,86,85,1,1,2,2,0
5,Spain,Netherlands,87,84,0,1,2,1,1
6,England,Italy,88,83,1,1,1,1,0
7,Argentina,Brazil,92,90,1,1,1,0,1
8,Morocco,Portugal,82,85,1,1,1,0,1
9,France,England,91,88,1,1,2,1,1
10,Brazil,Argentina,90,92,1,1,0,1,2
11,USA,Mexico,77,78,0,1,2,2,0
12,Japan,South Korea,76,74,0,1,1,1,0
13,Croatia,Netherlands,81,84,1,1,2,3,2
14,Uruguay,Colombia,80,79,0,1,1,2,2
15,Germany,Spain,86,87,0,1,1,2,2
16,Portugal,Italy,85,83,0,1,2,0,1
17,Belgium,France,82,91,1,1,0,2,2
18,Canada,USA,75,77,0,1,1,2,2
19,Senegal,Morocco,78,82,0,1,0,1,2
20,Argentina,Netherlands,92,84,1,1,2,1,1
21,France,Brazil,91,90,1,1,2,0,1
22,Spain,Portugal,87,85,0,1,3,1,1
23,England,Germany,88,86,1,1,1,2,2
24,Mexico,USA,78,77,0,1,0,0,0
25,Japan,Australia,76,71,0,1,2,0,1
26,Argentina,Spain,92,87,1,1,2,1,1
27,Brazil,France,90,91,1,1,1,2,2
28,Portugal,England,85,88,0,1,0,1,2
29,Netherlands,Italy,84,83,0,1,2,0,1
30,Croatia,Belgium,81,82,0,1,1,1,0
